Date,SP500
02-Jan-20,"3,257.85"
03-Jan-20,"3,234.85"
06-Jan-20,"3,246.28"
07-Jan-20,"3,237.18"
08-Jan-20,"3,253.05"
09-Jan-20,"3,274.70"
10-Jan-20,"3,265.35"
13-Jan-20,"3,288.13"
14-Jan-20,"3,283.15"
15-Jan-20,"3,289.29"
16-Jan-20,"3,316.81"
17-Jan-20,"3,329.62"
21-Jan-20,"3,320.79"
22-Jan-20,"3,321.75"
23-Jan-20,"3,325.54"
24-Jan-20,"3,295.47"
27-Jan-20,"3,243.63"
28-Jan-20,"3,276.24"
29-Jan-20,"3,273.40"
30-Jan-20,"3,283.66"
31-Jan-20,"3,225.52"
03-Feb-20,"3,248.92"
04-Feb-20,"3,297.59"
05-Feb-20,"3,334.69"
06-Feb-20,"3,345.78"
07-Feb-20,"3,327.71"
10-Feb-20,"3,352.09"
11-Feb-20,"3,357.75"
12-Feb-20,"3,379.45"
13-Feb-20,"3,373.94"
14-Feb-20,"3,380.16"
18-Feb-20,"3,370.29"
19-Feb-20,"3,386.15"
20-Feb-20,"3,373.23"
21-Feb-20,"3,337.75"
24-Feb-20,"3,225.89"
25-Feb-20,"3,128.21"
26-Feb-20,"3,116.39"
27-Feb-20,"2,978.76"
28-Feb-20,"2,954.22"
02-Mar-20,"3,090.23"
03-Mar-20,"3,003.37"
04-Mar-20,"3,130.12"
05-Mar-20,"3,023.94"
06-Mar-20,"2,972.37"
09-Mar-20,"2,746.56"
10-Mar-20,"2,882.23"
11-Mar-20,"2,741.38"
12-Mar-20,"2,480.64"
13-Mar-20,"2,711.02"
16-Mar-20,"2,386.13"
17-Mar-20,"2,529.19"
18-Mar-20,"2,398.10"
19-Mar-20,"2,409.39"
20-Mar-20,"2,304.92"
23-Mar-20,"2,237.40"
24-Mar-20,"2,447.33"
25-Mar-20,"2,475.56"
26-Mar-20,"2,630.07"
27-Mar-20,"2,541.47"
30-Mar-20,"2,626.65"
31-Mar-20,"2,584.59"
01-Apr-20,"2,470.50"
02-Apr-20,"2,526.90"
03-Apr-20,"2,488.65"
06-Apr-20,"2,663.68"
07-Apr-20,"2,659.41"
08-Apr-20,"2,749.98"
09-Apr-20,"2,789.82"
13-Apr-20,"2,761.63"
14-Apr-20,"2,846.06"
15-Apr-20,"2,783.36"
16-Apr-20,"2,799.55"
